Date,Open,High,Low,Close,Adj Close,Volume
2019-01-25,1238.708252,1252.824463,1223.799561,1234.300049,1211.052246,8631889
2019-01-28,1238.757813,1244.156616,1210.921631,1218.004517,1195.063477,8650493
2019-01-29,1219.440918,1220.084839,1190.069336,1199.281982,1176.693604,9417294
2019-01-30,1203.591187,1213.497314,1179.915527,1184.472412,1162.162964,7921321
2019-01-31,1190.713257,1218.153076,1189.722656,1215.627075,1192.730957,10281893
2019-02-01,1222.412720,1243.215576,1215.527954,1238.213013,1214.891357,9316446
2019-02-04,1235.290649,1284.771606,1230.387207,1278.778442,1254.692749,11781195
2019-02-05,1279.868164,1292.151733,1266.593994,1279.422363,1255.324585,9451152
2019-02-06,1284.078247,1305.277222,1282.097046,1297.946777,1273.500000,9500797
2019-02-07,1297.946777,1308.793945,1274.023560,1278.283203,1254.206909,9299549
2019-02-08,1272.735718,1288.288330,1260.303589,1265.702393,1241.863037,6567167
2019-02-11,1263.919312,1264.018311,1239.253174,1241.481934,1218.098877,7595318
2019-02-12,1239.748413,1260.402588,1239.748413,1244.602417,1221.160645,6460145
2019-02-14,1229.347046,1229.347046,1206.562988,1212.704712,1189.863525,6690180
2019-02-15,1218.202637,1238.163452,1202.600586,1232.764648,1209.545654,9688940
2019-02-18,1238.262451,1240.739014,1203.591187,1208.643311,1185.878662,9740480
2019-02-19,1206.562988,1228.059204,1199.826782,1204.680786,1181.990723,6303377
2019-02-20,1212.358032,1228.356445,1207.553589,1222.759521,1199.729004,6357879
2019-02-21,1224.393921,1245.989258,1217.806396,1235.191650,1211.927002,10680467
2019-02-22,1232.913208,1233.606689,1214.487915,1220.778198,1197.785156,8838861
2019-02-25,1224.393921,1231.328247,1209.188110,1220.728760,1197.736450,7926962
2019-02-26,1198.142822,1223.205200,1194.675659,1208.791870,1186.024292,10227082
2019-02-27,1216.518677,1233.210449,1197.647461,1212.011353,1189.183228,11218523
2019-02-28,1222.165039,1228.207764,1215.032715,1219.490479,1196.521484,11393904
2019-03-01,1225.384521,1230.684326,1210.773071,1214.537354,1191.661621,7997610
2019-03-05,1211.912231,1228.158325,1207.157349,1226.028442,1202.936401,7189013
2019-03-06,1228.158325,1261.145630,1223.502441,1252.923584,1229.324829,12152341
2019-03-07,1252.131104,1267.782715,1246.335938,1258.322388,1234.622070,8186126
2019-03-08,1254.161743,1262.482910,1250.149780,1255.201904,1231.560425,6097305
2019-03-11,1258.124268,1299.680298,1256.093506,1291.854492,1267.522583,9810964
2019-03-12,1304.534302,1321.473755,1301.909180,1318.848633,1294.008301,11335173
2019-03-13,1324.445557,1347.229614,1315.629150,1334.648804,1309.510864,11342554
2019-03-14,1337.075806,1349.210815,1323.554077,1328.952881,1303.922241,10500649
2019-03-15,1332.370483,1346.040894,1298.887817,1309.239746,1284.580322,16043743
2019-03-18,1318.501953,1345.198853,1316.520752,1337.373047,1312.183716,10201021
2019-03-19,1347.229614,1367.041870,1330.488281,1363.624146,1337.940430,9898262
2019-03-20,1364.862427,1374.966675,1351.192017,1362.534546,1336.871338,9986597
2019-03-22,1359.612183,1367.933350,1324.148438,1329.151001,1304.116455,11573789
2019-03-25,1318.105713,1324.296997,1304.336182,1312.013428,1287.301758,8027368
2019-03-26,1317.808472,1358.720703,1317.511353,1354.411499,1328.901489,9569142
2019-03-27,1365.011108,1365.011108,1331.627441,1336.580566,1311.406372,10189856
